497,Yahualica,,11
498,Xochiatipan,,11
499,Molango de Escamilla,,11
500,Tepehuacán de Guerrero,,11
501,Lolotla,,11
502,Tlanchinol,,11
503,Tlahuiltepa,,11
504,Juárez Hidalgo,,11
505,Zacualtipán de Ángeles,,11
506,Calnali,,11
507,Xochicoatlán,,11
508,Tianguistengo,,11
509,Atotonilco el Grande,,11
510,Eloxochitlán,,11
511,Metztitlán,,11
512,San Agustín Metzquititlán,,11
513,Metepec,,11
514,Huehuetla,,11
515,San Bartolo Tutotepec,,11
516,Agua Blanca de Iturbide,,11
517,Tenango de Doria,,11
518,Huasca de Ocampo,,11
519,Acatlán,,11
520,Omitlán de Juárez,,11
521,Epazoyucan,,11
522,Tulancingo de Bravo,Tulancingo,11
523,Acaxochitlán,,11
524,Cuautepec de Hinojosa,,11
525,Santiago Tulantepec de Lugo Guerrero,Santiago Tulantepec,11
526,Singuilucan,,11
527,Tizayuca,Tizayuca,11
528,Zempoala,,11
529,Tolcayuca,,11
530,Villa de Tezontepec,,11
531,Apan,Apan,11
532,Tlanalapa,,11
533,Almoloya,,11
534,Emiliano Zapata,,11
535,Tepeapulco,Tepeapulco,11
536,Guadalajara,Guadalajara,12
537,Zapopan,Zapopan,12
538,San Cristóbal de la Barranca,,12
539,Ixtlahuacán del Río,,12
540,Tala,Tala,12
541,El Arenal,,12
542,Amatitán,,12
543,Tonalá,Tonalá,12
544,Zapotlanejo,,12
545,Acatic,,12
546,Cuquío,,12
547,San Pedro Tlaquepaque,Tlaquepaque,12
548,Tlajomulco de Zúñiga,Tlajomulco de Zúñiga,12
549,El Salto,El Salto,12
550,Acatlán de Juárez,Acatlán de Juárez,12
551,Villa Corona,Villa Corona,12
552,Zacoalco de Torres,Zacoalco de Torres,12
553,Atemajac de Brizuela,,12
554,Jocotepec,Jocotepec,12
555,Ixtlahuacán de los Membrillos,,12
556,Juanacatlán,,12
557,Chapala,Chapala,12
558,Poncitlán,Poncitlán,12
559,Zapotlán del Rey,,12
560,Huejuquilla el Alto,Huejuquilla el Alto,12
561,Mezquitic,,12
562,Villa Guerrero,,12
563,Bolaños,,12
564,Totatiche,,12
565,Colotlán,Colotlán,12
566,Santa María de los Ángeles,,12
567,Huejúcar,,12
568,Chimaltitán,,12
569,San Martín de Bolaños,,12
570,Tequila,Tequila,12
571,Hostotipaquillo,,12
572,Magdalena,Magdalena,12
573,Etzatlán,Etzatlán,12
574,San Marcos,,12
575,San Juanito de Escobedo,,12
576,Ameca,Ameca,12
577,Ahualulco de Mercado,Ahualulco de Mercado,12
578,Teuchitlán,,12
579,San Martín Hidalgo,,12
580,Guachinango,,12
581,Mixtlán,,12
582,Mascota,,12
583,San Sebastián del Oeste,,12
584,San Juan de los Lagos,San Juan de los Lagos,12
585,Jalostotitlán,Jalostotitlán,12
586,San Miguel el Alto,San Miguel el Alto,12
587,San Julián,San Julián,12
588,Arandas,Arandas,12
589,San Ignacio Cerro Gordo,San Ignacio Cerro Gordo,12
590,Teocaltiche,Teocaltiche,12
591,Villa Hidalgo,Villa Hidalgo,12
592,Encarnación de Díaz,,12
593,Yahualica de González Gallo,Yahualica de González Gallo,12
594,Mexticacán,,12
595,Cañadas de Obregón,,12
596,Valle de Guadalupe,Valle de Guadalupe,12
597,Lagos de Moreno,Lagos de Moreno,12
598,Ojuelos de Jalisco,,12
599,Unión de San Antonio,Unión de San Antonio,12
600,San Diego de Alejandría,San Diego de Alejandría,12
601,Tepatitlán de Morelos,Tepatitlán de Morelos,12
602,Tototlán,Tototlán,12
603,Atotonilco el Alto,Atotonilco el Alto,12
604,Ocotlán,,12
605,Jamay,Jamay,12
606,La Barca,La Barca,12
607,Ayotlán,,12
608,Jesús María,,12
609,Degollado,,12
610,Unión de Tula,,12
611,Ayutla,,12
612,Atenguillo,,12
613,Cuautla,,12
614,Atengo,,12
615,Talpa de Allende,Talpa de Allende,12
616,Puerto Vallarta,,12
617,Cabo Corrientes,,12
618,Tomatlán,,12
619,Cocula,Cocula,12
620,Tecolotlán,,12
621,Tenamaxtlán,,12
622,Juchitlán,,12
623,Chiquilistlán,,12
624,Ejutla,,12
625,El Limón,,12
626,El Grullo,El Grullo,12
627,Tonaya,,12
628,Tuxcacuesco,,12
629,Villa Purificación,Villa Purificación,12
630,La Huerta,,12
631,Autlán de Navarro,Autlán de Navarro,12
